,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,D,23.0,5.0,5.0,18.0,D,8370
1,E,15.0,10.0,10.0,5.0,D,8370
0,C,26.0,6.0,6.0,20.0,C,8371
1,D,23.0,5.0,5.0,18.0,C,8371
2,E,15.0,10.0,10.0,5.0,C,8371
3,F,23.0,6.0,6.0,17.0,C,8371
0,C,26.0,7.0,7.0,19.0,C,8372
1,F,23.0,12.0,12.0,11.0,C,8372
0,E,15.0,3.0,3.0,12.0,E,8373
0,C,26.0,11.0,11.0,15.0,D,8374
1,D,23.0,4.0,4.0,19.0,D,8374
2,E,15.0,7.0,7.0,8.0,D,8374
0,C,26.0,20.0,20.0,6.0,F,8375
1,D,23.0,18.0,18.0,5.0,F,8375
2,E,15.0,14.0,14.0,1.0,F,8375
3,F,23.0,7.0,7.0,16.0,F,8375
0,D,23.0,7.0,7.0,16.0,D,8376
1,E,15.0,15.0,15.0,0.0,D,8376
0,C,26.0,13.0,13.0,13.0,F,8377
1,E,15.0,15.0,15.0,0.0,F,8377
2,F,23.0,3.0,3.0,20.0,F,8377
0,D,23.0,9.0,9.0,14.0,F,8378
1,F,23.0,3.0,3.0,20.0,F,8378
0,F,23.0,26.0,26.0,-3.0,F,8379
0,F,23.0,22.0,22.0,1.0,F,8380
0,E,15.0,7.0,7.0,8.0,F,8381
1,F,23.0,8.0,8.0,15.0,F,8381
0,C,26.0,5.0,5.0,21.0,C,8382
1,D,23.0,5.0,5.0,18.0,C,8382
2,E,15.0,14.0,14.0,1.0,C,8382
3,F,23.0,18.0,18.0,5.0,C,8382
0,F,23.0,9.0,9.0,14.0,F,8383
0,E,15.0,3.0,3.0,12.0,E,8384
0,D,23.0,6.0,6.0,17.0,D,8385
1,E,15.0,7.0,7.0,8.0,D,8385
0,C,26.0,11.0,11.0,15.0,F,8386
1,E,15.0,10.0,10.0,5.0,F,8386
2,F,23.0,3.0,3.0,20.0,F,8386
0,E,15.0,15.0,15.0,0.0,E,8387
0,C,26.0,12.0,12.0,14.0,C,8388
0,D,23.0,10.0,10.0,13.0,F,8389
1,F,23.0,6.0,6.0,17.0,F,8389
0,D,23.0,12.0,12.0,11.0,D,8390
1,E,15.0,6.0,6.0,9.0,D,8390
0,C,26.0,17.0,17.0,9.0,F,8391
1,D,23.0,8.0,8.0,15.0,F,8391
2,E,15.0,17.0,17.0,-2.0,F,8391
3,F,23.0,3.0,3.0,20.0,F,8391
0,C,26.0,15.0,15.0,11.0,D,8392
1,D,23.0,3.0,3.0,20.0,D,8392
2,E,15.0,11.0,11.0,4.0,D,8392
0,C,26.0,8.0,8.0,18.0,C,8393
0,E,15.0,11.0,11.0,4.0,E,8394
0,C,26.0,3.0,3.0,23.0,C,8395
1,E,15.0,12.0,12.0,3.0,C,8395
2,F,23.0,12.0,12.0,11.0,C,8395
0,D,23.0,8.0,8.0,15.0,D,8396
0,F,23.0,10.0,10.0,13.0,F,8397
