,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
2,F,23.0,14.0,14.0,9.0,F,7836
0,E,18.0,7.0,7.0,11.0,F,7837
1,F,23.0,2.0,2.0,21.0,F,7837
0,D,15.0,10.0,10.0,5.0,F,7838
1,E,18.0,4.0,4.0,14.0,F,7838
2,F,23.0,4.0,4.0,19.0,F,7838
0,C,20.0,6.0,6.0,14.0,F,7839
1,D,15.0,12.0,12.0,3.0,F,7839
2,E,18.0,3.0,3.0,15.0,F,7839
3,F,23.0,4.0,4.0,19.0,F,7839
0,E,18.0,8.0,8.0,10.0,E,7840
1,F,23.0,16.0,16.0,7.0,E,7840
0,C,20.0,12.0,12.0,8.0,C,7841
1,D,15.0,12.0,12.0,3.0,C,7841
2,E,18.0,14.0,14.0,4.0,C,7841
0,C,20.0,15.0,15.0,5.0,C,7842
1,D,15.0,14.0,14.0,1.0,C,7842
0,C,20.0,7.0,7.0,13.0,C,7843
0,C,20.0,11.0,11.0,9.0,F,7844
1,D,15.0,3.0,3.0,12.0,F,7844
2,F,23.0,3.0,3.0,20.0,F,7844
0,F,23.0,10.0,10.0,13.0,F,7845
0,C,20.0,12.0,12.0,8.0,E,7846
1,D,15.0,7.0,7.0,8.0,E,7846
2,E,18.0,6.0,6.0,12.0,E,7846
3,F,23.0,15.0,15.0,8.0,E,7846
0,C,20.0,11.0,11.0,9.0,F,7847
1,E,18.0,6.0,6.0,12.0,F,7847
2,F,23.0,9.0,9.0,14.0,F,7847
0,C,20.0,11.0,11.0,9.0,C,7848
1,D,15.0,16.0,16.0,-1.0,C,7848
2,F,23.0,14.0,14.0,9.0,C,7848
0,D,15.0,4.0,4.0,11.0,D,7849
1,E,18.0,8.0,8.0,10.0,D,7849
0,E,18.0,13.0,13.0,5.0,F,7850
1,F,23.0,7.0,7.0,16.0,F,7850
0,C,20.0,8.0,8.0,12.0,C,7851
0,C,20.0,13.0,13.0,7.0,F,7852
1,D,15.0,15.0,15.0,0.0,F,7852
2,F,23.0,15.0,15.0,8.0,F,7852
0,C,20.0,11.0,11.0,9.0,E,7853
1,E,18.0,4.0,4.0,14.0,E,7853
0,C,20.0,6.0,6.0,14.0,F,7854
1,F,23.0,6.0,6.0,17.0,F,7854
0,E,18.0,5.0,5.0,13.0,F,7855
1,F,23.0,2.0,2.0,21.0,F,7855
0,C,20.0,11.0,11.0,9.0,C,7856
0,D,15.0,8.0,8.0,7.0,F,7857
1,E,18.0,9.0,9.0,9.0,F,7857
2,F,23.0,12.0,12.0,11.0,F,7857
0,C,20.0,9.0,9.0,11.0,C,7858
1,D,15.0,12.0,12.0,3.0,C,7858
